"0 or empty for no auto-hide","0 or empty for no auto-hide"
Appear,Appear
"Auto hide after x seconds","Auto hide after x seconds"
BlindDown,BlindDown
BlindUp,BlindUp
"Center of the page","Center of the page"
"DOM Selector","DOM Selector"
"Default prototype styles","Default prototype styles"
DropOut,DropOut
Enabled,Enabled
Fade,Fade
"Floating Messages","Floating Messages"
Grow,Grow
"Hide Effect","Hide Effect"
"Magento styles","Magento styles"
Modal,Modal
Position,Position
Puff,Puff
Settings,Settings
"Show Effect","Show Effect"
Shrink,Shrink
SlideDown,SlideDown
SlideUp,SlideUp
Squish,Squish
Style,Style
SwitchOff,SwitchOff
"This is a dummy %s message","This is a dummy %s message"
"Top of the page","Top of the page"
